DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.13
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.13:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
0   [0.4, 0.2, 0.3]
1   [0.40000000000000002, 0.20000000000000001, 0.29999999999999999]
2   [0.4460949971522839, 0.19976472726229194, 0.30024220907813037]
3   [0.4495617682556125, 0.20714496949502781, 0.30076261111103364]
4   [0.44300077758343093, 0.20612039106372318, 0.30129357659852896]
5   [0.43502356182748381, 0.20355470066966164, 0.3017238339515651]
6   [0.42770546233365725, 0.20113823579240128, 0.302042279782823]
7   [0.42142609847271179, 0.19920625273397871, 0.30226150823475695]
8   [0.41613803670155619, 0.19775683326394466, 0.30239783273426024]
9   [0.41171993693428666, 0.19671951298634821, 0.3024664667411841]
10   [0.40804598835648476, 0.19601854931884471, 0.30248065365852456]
11   [0.41074370523319909, 0.20049307217192561, 0.30251038644740685]
12   [0.39830707086414202, 0.19207547394866215, 0.30246300137483778]
13   [0.40575062670032747, 0.20072148010226665, 0.30239159607484395]
14   [0.39468449879128198, 0.19247847438647131, 0.3023019355931989]
15   [0.40284688500717414, 0.20119193774370961, 0.30220186337519328]
16   [0.39118089858930472, 0.19283271812603861, 0.30208419793545199]
17   [0.3888872886623137, 0.19182179584265335, 0.30183716628236651]
18   [0.38894467293602353, 0.19258210743256321, 0.30158115567126542]
19   [0.38952541608702923, 0.19366857782939326, 0.30134478937439113]
20   [0.39016525720587786, 0.19472004656147054, 0.30113269365345935]
21   [0.39075626796503798, 0.19565821227864313, 0.30094359630447165]
22   [0.39128183023647356, 0.1964768530754738, 0.3007750464978371]
23   [0.39174719218180937, 0.19718660968148743, 0.30062459825663573]
24   [0.39216155346238846, 0.19780075986629422, 0.3004900709674535]
25   [0.39253367370583081, 0.19833175281689835, 0.3003695753692418]
26   [0.39287098740512288, 0.198790534082223, 0.3002614849926375]
27   [0.39317959384706697, 0.19918656677976668, 0.3001643991950258]
28   [0.39346443724391089, 0.19952800361282608, 0.3000771089023555]
29   [0.39372950391717992, 0.19982187153924566, 0.2999985671312464]
30   [0.39397799689250218, 0.20007423730114582, 0.29992786413948408]
31   [0.39421248233595091, 0.20029034923420841, 0.29986420659162211]
32   [0.39443501034353379, 0.20047475727486749, 0.29980690010575689]
33   [0.39464721400125014, 0.20063141425156733, 0.29975533462413401]
34   [0.39485039041763031, 0.20076376140943461, 0.29970897213752956]
35   [0.39504556689708636, 0.20087480071728506, 0.2996673363714904]
36   [0.39523355489237499, 0.20096715610061769, 0.29963000410858004]
37   [0.39541499391580709, 0.20104312539016791, 0.29959659787578291]
38   [0.39559038720592749, 0.20110472447766964, 0.29956677977186158]
39   [0.39548613741798849, 0.20091951371022371, 0.29953732905574965]
40   [0.39609835973890933, 0.2013252082374829, 0.29951276043907338]
41   [0.39519225332735286, 0.20044965826024083, 0.29948429768640311]
42   [0.39630921804697322, 0.20124203827813003, 0.29945736424227942]
43   [0.3966582732512598, 0.2014187316932029, 0.29944486134358617]
44   [0.39681116711024816, 0.20143588221057349, 0.29943659080727097]
45   [0.39691685328929083, 0.20141292898315843, 0.29942994472067447]
46   [0.39701326017429445, 0.20138080354265803, 0.29942428663721898]
47   [0.39710933226980599, 0.2013472718135671, 0.2994194794001816]
48   [0.39720657442840313, 0.20131409926337718, 0.29941550206136414]
49   [0.3973046878881169, 0.20128154664447842, 0.29941235238301073]
50   [0.39740302714184617, 0.2012495368894496, 0.29941002383055515]
51   [0.39750096189231127, 0.20121794942319621, 0.29940850166136962]
52   [0.39759795457757358, 0.20118668739934714, 0.29940776363181365]
53   [0.39769356602885797, 0.20115568719370971, 0.2994077815877661]
54   [0.39809413417917233, 0.20122124763930463, 0.29941082109344447]
55   [0.39879884894644041, 0.20140164155370666, 0.29942145221684363]
56   [0.39975861369133348, 0.20167477352945756, 0.29944381019422389]
57   [0.40092027525283952, 0.20201358425206689, 0.29948105156823918]
58   [0.40223678385864453, 0.20239431094498014, 0.29953538227208593]
59   [0.40366863161484812, 0.20279778798569645, 0.29960820730839083]
60   [0.40518320272535968, 0.20320906948035022, 0.29970028737260851]
61   [0.40675374950640208, 0.20361673927609347, 0.29981187599607689]
62   [0.40835841752271157, 0.20401224662588341, 0.2999428336729405]
63   [0.40997940691248991, 0.20438933819936281, 0.30009272105552942]
64   [0.41160227183003301, 0.20474358937450629, 0.30026087436487797]
65   [0.41321534070037863, 0.20507202234993632, 0.30044646604556324]
66   [0.41480923779321183, 0.20537279674389639, 0.3006485533037565]
67   [0.41637648857202891, 0.20564495974796632, 0.30086611675017849]
68   [0.41791119395275955, 0.20588824488957305, 0.30109809099091706]
69   [0.41940876113721121, 0.20610291033942316, 0.30134338868308747]
70   [0.42086568087498744, 0.20628960932621504, 0.30160091929822469]
71   [0.42227934284114427, 0.2064492865825249, 0.30186960360868798]
72   [0.42364788233245676, 0.20658309587057336, 0.30214838472476696]
73   [0.4249700527292522, 0.2066923345596646, 0.30243623635631889]
74   [0.42629680573991208, 0.20692448909812181, 0.30273327780980452]
