DEBUG:root:sensor enters pre_loop
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
DEBUG:root:FIT201 level 0.0
