DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  '/usr/bin/python' '-m' 'cpppo.server.enip' '--print' '--log' 'logs/protocols_tests_enip_server' '--address' '192.168.1.13:44818' 'LIT101:1=REAL' 'LIT102:1=REAL' 'LIT103:1=REAL' 'Q101:1=REAL' 'Q102:1=REAL'
31   0.40000004725280025 0.20000003964869192 0.29999999975672442
32   0.40000001887169434 0.20000001565130238 0.30000000043837605
33   0.40000000899853572 0.20000000640852555 0.30000000070685512
34   0.39999999923875235 0.19999999737060487 0.3000000007562813
35   0.39999999888827809 0.19999999789751532 0.30000000070372085
36   0.39999999888570875 0.19999999865753981 0.30000000066072613
37   0.39999999830771177 0.1999999988883254 0.30000000061487347
38   0.39999999855826363 0.19999999976234786 0.30000000058248177
39   0.39999999750849918 0.19999999951656203 0.30000000053650794
40   0.39999999646987139 0.19999999927546222 0.30000000047732822
41   0.3999999969942416 0.20000000033906531 0.30000000043699926
42   0.39999999548836973 0.19999999968108015 0.30000000037366675
43   0.39999999703028316 0.20000000153727068 0.30000000033047247
44   0.3999999939252063 0.19999999948281769 0.30000000027734436
45   0.39999999776802558 0.20000000321163527 0.30000000024046258
46   0.39999999112467721 0.1999999981573648 0.30000000017895745
47   0.39999998455498437 0.1999999932127218 0.2999999999884172
48   0.39999998612507837 0.19999999590362516 0.29999999976325553
49   0.39999993696707975 0.19999995510090318 0.29999999905048336
50   0.39999996885634398 0.19999998085583587 0.29999999818949086
51   0.39999997651632996 0.19999998707160885 0.29999999774461
52   0.39999996957658485 0.19999998092483634 0.29999999731099292
53   0.39999996270959831 0.19999997490747304 0.29999999674120342
54   0.3999999686221723 0.19999998045634274 0.29999999617908946
55   0.39999996502116825 0.19999997778817177 0.29999999565670304
56   0.39999997575433988 0.19999998685598983 0.29999999522516702
57   0.39999996496765433 0.19999997771752084 0.29999999479946821
58   0.39999998657826441 0.19999999545365804 0.29999999449794162
59   0.40000000794375312 0.20000001279923835 0.2999999946417633
60   0.40000000726990198 0.20000000856224834 0.29999999496777047
61   0.4000000583560932 0.20000004877365987 0.2999999957826055
62   0.40000007332382403 0.20000006103637108 0.29999999723574106
63   0.40030674414717599 0.20009637002701525 0.30000227747431663
64   0.40091757051780458 0.20030618483451876 0.30001138975524011
65   0.40152167550266316 0.20051154014765116 0.3000294318613802
66   0.40269438447126116 0.20103525640441733 0.30006111631528798
67   0.40468369268708909 0.20217172201523392 0.3001190528710001
68   0.40577051532945885 0.2025024983991448 0.30020088362450581
69   0.40676121004247995 0.20268319681081126 0.30029515356645192
70   0.40783508247753181 0.20286820885445692 0.30040065302935742
71   0.40889845300053346 0.20305040921663248 0.3005174876886309
72   0.4103441598315129 0.20346493090104539 0.30064869192851429
73   0.41323838526752105 0.20509100550934906 0.30081199455243385
74   0.414397099246745 0.20528997014704611 0.30100357467582989
75   0.41523208394594335 0.20519584868490126 0.30120203967827441
76   0.41608500790670577 0.2050883326381456 0.30140386671918551
77   0.4169310732809367 0.20498551916173396 0.30160897683183141
78   0.41770105937151736 0.20481223123857034 0.30181647015103796
79   0.42001497367967 0.20592978564294073 0.30204100356677815
80   0.42103795186510273 0.20599711463815701 0.30228463962058572
81   0.42181502272370086 0.20585317317317542 0.30253180476120833
82   0.42259859261428129 0.20570402253424311 0.30277995656563306
83   0.42337663508672657 0.20556099003895031 0.30302908093713049
84   0.42398870261089516 0.20529547222789171 0.30327760386978925
85   0.42607580062898881 0.20627218413043041 0.30353869061590527
86   0.42697439319519437 0.20629181849319492 0.30381493444981406
87   0.42768557072042601 0.20626162016296834 0.304093323500782
88   0.42844987723018557 0.20636268139170949 0.30437360328628288
89   0.42920928291896748 0.20646472648869768 0.30465671498220187
90   0.43021151766805799 0.20682782945640396 0.30494529253902847
91   0.43230898149532193 0.20820471561990286 0.30525321402606725
92   0.43318033786348875 0.20865953407285404 0.30557974881481142
93   0.43381703099593905 0.20897678275077125 0.30591120839225661
94   0.4344553640287554 0.20933906879424335 0.30624580856265127
95   0.43509067913486982 0.20969725665860728 0.30658370343571806
96   0.4363200318860273 0.21052672203613554 0.3069304553339201
97   0.43803447482799229 0.21183876268946128 0.30729666048178944
98   0.43862106015142655 0.21227853655761442 0.30767638160040428
99   0.43899471408443569 0.21257246258426957 0.30805692943814544
100   0.43937449499698294 0.21289199628328564 0.30843659120965644
101   0.43975427124884797 0.21320889325106029 0.30881554696655411
102   0.44066716233282166 0.21393251546498282 0.30919878790335537
103   0.44173908120115807 0.21483640525199565 0.30959297800211227
104   0.44211922784547225 0.21520127638166181 0.3099931480640824
105   0.44238013349177341 0.21548189240866417 0.31039163745074677
106   0.44265617402735613 0.21578356324387582 0.31078761595245108
107   0.44293338494816853 0.21608319140786075 0.31118132535007109
108   0.44370823409332277 0.21675276907027227 0.31157740919724763
109   0.44329407425091993 0.21643780927696746 0.31196878098446729
110   0.4448260380959459 0.21775830785003009 0.31236320281868685
111   0.44526791511110192 0.21821257994466875 0.31276904733265887
112   0.445471790944724 0.2184795656502678 0.31317354344483822
113   0.44567762251308252 0.21874537769173139 0.31357449116890901
114   0.44585735464604059 0.21899210942556122 0.3139717292471772
115   0.4465068810421996 0.21958676160313945 0.31436943630829417
116   0.44702209970388895 0.22009379468082574 0.31477071196375284
117   0.44716721156965533 0.22030636476868143 0.31517078975393975
118   0.44725453740948212 0.22047305356477903 0.31556565481007631
119   0.44735648700942077 0.22065107377032728 0.31595501171633245
120   0.44746124708550783 0.22082967858617047 0.31633913099410582
121   0.4478660611845835 0.2212263496109434 0.31672088722364239
122   0.44819580208803311 0.22157357041673145 0.31710238414024744
123   0.44831290201197427 0.22175064542517794 0.31748094156837436
124   0.44839836715480785 0.22190160777893089 0.31785430422158756
125   0.4484935188386201 0.22205909321568407 0.31822236478309324
126   0.44859135015025126 0.2222173596454593 0.31858533852785353
127   0.44894754020006133 0.22256209925112583 0.31894570902520869
128   0.44923869600379279 0.22286404106052274 0.31930528965180721
129   0.44932741616122029 0.22300346472433683 0.31966159299827712
130   0.44938190455269528 0.22311433243300585 0.32001243754597519
131   0.44944149163649277 0.22322782419400211 0.32035764992373228
132   0.44950389537320651 0.22334277554799828 0.32069741256773815
133   0.44975418230876568 0.22359281030082609 0.3210335756722944
134   0.44994700824569128 0.22380229151543185 0.32136738685958616
135   0.45000748943725 0.22390503417117399 0.32169711153332348
136   0.45004591881955025 0.22398888398195846 0.32202136272086329
137   0.45008782444899997 0.22407408721079175 0.32234006681609539
138   0.45013247335100043 0.22416104465043885 0.32265339070254256
139   0.450318152238039 0.22434901418740316 0.32296275564168669
140   0.4504571409438573 0.22450322103216799 0.32326908623404571
141   0.45049913484068349 0.22457893473603116 0.32357109228837372
142   0.45052401455089341 0.22463979054206309 0.32386777377484205
143   0.45055047189104802 0.22470063371831733 0.32415908384428221
144   0.45057956769803081 0.22476343005450533 0.32444516920260824
145   0.45070976919461875 0.22489834891918911 0.32472708372207482
146   0.45080267800001822 0.22500551356098977 0.3250054778423786
147   0.45083010209211549 0.22505944289396324 0.32527945407636571
148   0.45084528392481171 0.22510255761585804 0.32554836003039916
149   0.45086079865240408 0.22514485758645195 0.32581217951078878
150   0.45087879987402202 0.22518918478718619 0.32607104211258708
151   0.45096732969384556 0.22528357284784511 0.3263257166342563
152   0.45088887994526089 0.22523762846392845 0.32657528690317428
153   0.45105009061984352 0.22539088792532777 0.32682058291502852
154   0.45108820798157995 0.22544504137219618 0.32706282037116108
155   0.45109697955010586 0.22547483716285852 0.32730061166739688
156   0.45110018900051457 0.22549924461870538 0.32753371077673687
157   0.45110571404043581 0.22552570316072268 0.32776218316806505
158   0.45115182680320104 0.22558053558398616 0.32798651603149986
159   0.4511744735765979 0.22561646110202152 0.32820693316954946
160   0.45117989470501102 0.22563789966388295 0.32842312658984768
161   0.45118118266906904 0.22565529719728036 0.32863497585620871
162   0.45118147509818973 0.22567116458571612 0.32884251672372466
163   0.45118386526049642 0.22568897072327587 0.32904584900262818
164   0.45121318170907493 0.22572546458897674 0.32924532546714319
165   0.45122530589645671 0.22574789432317016 0.32944110073090255
166   0.45122693388451013 0.22576136580063325 0.3296329857404463
167   0.45122493965921767 0.22577136896148264 0.32982092313387507
168   0.45122127769557108 0.22577948000972492 0.33000494047123058
169   0.45121952399507631 0.22578942599119994 0.33018512231318342
170   0.45123172052195543 0.22580878030192356 0.33036169385113429
171   0.45123084336500457 0.22581705694930929 0.33053472557553071
172   0.45122838378816432 0.22582361419387262 0.33070414813786597
173   0.45122379319770156 0.22582802643797012 0.33086999801520961
174   0.45121725667600648 0.22583045762689319 0.331032307645729
175   0.45121244415375511 0.22583459853821347 0.33119114992387794
176   0.4512122343489679 0.22584149343029833 0.33134665561526777
177   0.45120192117339075 0.22583946898523585 0.33149883273025998
178   0.45119661103259101 0.22584107981153703 0.33164769783109099
179   0.45119038705865294 0.22584162478570069 0.33179335602599591
180   0.45118207432459423 0.22584018107746345 0.33193584324954445
181   0.451175307286237 0.22584030677527328 0.33207522204073342
