DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
78 [  5.25240294e-05] [  4.22097454e-05] [  5.25240294e-05]
79 [  6.53439823e-05] [  5.21776598e-05] [  6.53439823e-05]
80 [  7.30872257e-05] [  6.03279313e-05] [  7.30872257e-05]
81 [  4.96331254e-05] [  4.21890024e-05] [  4.96331254e-05]
82 [  4.48623125e-05] [  3.87755731e-05] [  4.48623125e-05]
83 [  4.46704065e-05] [  3.89501276e-05] [  4.46704065e-05]
84 [  4.54056579e-05] [  3.98291632e-05] [  4.54056579e-05]
85 [  4.61628398e-05] [  4.06987514e-05] [  4.61628398e-05]
86 [  4.67463834e-05] [  4.14055498e-05] [  4.67463834e-05]
87 [  5.66289512e-05] [  4.88412157e-05] [  5.66289512e-05]
88 [  5.78325080e-05] [  5.07506839e-05] [  5.78325080e-05]
89 [  4.53769974e-05] [  4.10391025e-05] [  4.53769974e-05]
90 [  4.29607393e-05] [  3.92462037e-05] [  4.29607393e-05]
91 [  4.29731730e-05] [  3.93615968e-05] [  4.29731730e-05]
92 [  4.34501631e-05] [  3.98337467e-05] [  4.34501631e-05]
93 [  4.39103256e-05] [  4.02825009e-05] [  4.39103256e-05]
94 [  5.10685928e-05] [  4.55868941e-05] [  5.10685928e-05]
95 [  5.04223637e-05] [  4.55715687e-05] [  5.04223637e-05]
96 [  4.32325830e-05] [  3.99271838e-05] [  4.32325830e-05]
97 [  4.18809628e-05] [  3.88902000e-05] [  4.18809628e-05]
98 [  4.19268183e-05] [  3.89533853e-05] [  4.19268183e-05]
99 [  4.22281191e-05] [  3.92144660e-05] [  4.22281191e-05]
100 [  4.25043213e-05] [  3.94515641e-05] [  4.25043213e-05]
101 [  4.27034239e-05] [  3.96236797e-05] [  4.27034239e-05]
102 [  4.81858924e-05] [  4.36302291e-05] [  4.81858924e-05]
103 [  4.71965308e-05] [  4.31653271e-05] [  4.71965308e-05]
104 [  4.18505069e-05] [  3.89314697e-05] [  4.18505069e-05]
105 [  4.07921507e-05] [  3.80839907e-05] [  4.07921507e-05]
106 [  4.07689651e-05] [  3.80538765e-05] [  4.07689651e-05]
107 [  4.09456592e-05] [  3.81811384e-05] [  4.09456592e-05]
108 [  4.11140065e-05] [  3.83009403e-05] [  4.11140065e-05]
109 [  4.44595827e-05] [  4.07281426e-05] [  4.44595827e-05]
110 [  4.34660010e-05] [  4.00788221e-05] [  4.34660010e-05]
111 [  4.07959967e-05] [  3.79492653e-05] [  4.07959967e-05]
112 [  4.02687446e-05] [  3.75124300e-05] [  4.02687446e-05]
113 [  4.02517498e-05] [  3.74788256e-05] [  4.02517498e-05]
114 [  4.03278358e-05] [  3.75188093e-05] [  4.03278358e-05]
115 [  4.03950979e-05] [  3.75517611e-05] [  4.03950979e-05]
116 [  4.04312164e-05] [  3.75598057e-05] [  4.04312164e-05]
117 [  4.27212988e-05] [  3.92056301e-05] [  4.27212988e-05]
118 [  4.19993291e-05] [  3.87219763e-05] [  4.19993291e-05]
119 [  4.00408619e-05] [  3.71504324e-05] [  4.00408619e-05]
120 [  3.96142507e-05] [  3.67895171e-05] [  3.96142507e-05]
121 [  3.95582237e-05] [  3.67219032e-05] [  3.95582237e-05]
122 [  3.95771776e-05] [  3.67140845e-05] [  3.95771776e-05]
123 [  3.95963612e-05] [  3.67068912e-05] [  3.95963612e-05]
124 [  4.08374905e-05] [  3.75878905e-05] [  4.08374905e-05]
125 [  3.77514281e-05] [  3.49905148e-05] [  3.77514281e-05]
126 [  4.20561720e-05] [  3.85707000e-05] [  4.20561720e-05]
127 [  3.97823152e-05] [  3.67513480e-05] [  3.97823152e-05]
128 [  3.92100089e-05] [  3.62763654e-05] [  3.92100089e-05]
129 [  3.90699407e-05] [  3.61434105e-05] [  3.90699407e-05]
130 [  3.90327064e-05] [  3.60923023e-05] [  3.90327064e-05]
131 [  3.96419473e-05] [  3.65131158e-05] [  3.96419473e-05]
132 [  3.92099431e-05] [  3.61601477e-05] [  3.92099431e-05]
133 [  3.89557981e-05] [  3.59408891e-05] [  3.89557981e-05]
134 [  3.88641227e-05] [  3.58502613e-05] [  3.88641227e-05]
135 [  3.88110387e-05] [  3.57903526e-05] [  3.88110387e-05]
136 [  3.87674177e-05] [  3.57382430e-05] [  3.87674177e-05]
137 [  3.87236963e-05] [  3.56862998e-05] [  3.87236963e-05]
138 [  3.86795925e-05] [  3.56343299e-05] [  3.86795925e-05]
139 [  3.89755030e-05] [  3.58300608e-05] [  3.89755030e-05]
140 [  3.86984077e-05] [  3.55963217e-05] [  3.86984077e-05]
141 [  3.85786035e-05] [  3.54868472e-05] [  3.85786035e-05]
142 [  3.85032860e-05] [  3.54125780e-05] [  3.85032860e-05]
143 [  3.84432492e-05] [  3.53505407e-05] [  3.84432492e-05]
144 [  3.83890687e-05] [  3.52932813e-05] [  3.83890687e-05]
145 [  3.83394555e-05] [  3.52398599e-05] [  3.83394555e-05]
146 [  3.82928368e-05] [  3.51890448e-05] [  3.82928368e-05]
147 [  3.82934846e-05] [  3.51730631e-05] [  3.82934846e-05]
148 [  3.80987817e-05] [  3.49924844e-05] [  3.80987817e-05]
149 [  3.82481049e-05] [  3.50991802e-05] [  3.82481049e-05]
150 [  3.82315276e-05] [  3.50748098e-05] [  3.82315276e-05]
151 [  3.34270901e-05] [  3.35204747e-05] [  3.34270901e-05]
152 [  2.86020278e-05] [  3.16607043e-05] [  2.86020278e-05]
153 [  2.45092360e-05] [  3.01230644e-05] [  2.45092360e-05]
154 [  1.41348905e-05] [  2.38387770e-05] [  1.41348905e-05]
155 [  3.46679879e-05] [  4.24514662e-05] [  3.46679879e-05]
156 [ -1.91807602e-05] [ -1.77420781e-06] [ -1.91807602e-05]
157 [  1.41236496e-05] [  2.56334924e-05] [  1.41236496e-05]
158 [  2.06523212e-05] [  3.17347107e-05] [  2.06523212e-05]
159 [  2.06286376e-05] [  3.25147603e-05] [  2.06286376e-05]
160 [  1.92899743e-05] [  3.21268736e-05] [  1.92899743e-05]
161 [  1.79417949e-05] [  3.16177442e-05] [  1.79417949e-05]
162 [  1.39520113e-05] [  2.91041375e-05] [  1.39520113e-05]
163 [ -1.16845717e-05] [  7.22890345e-06] [ -1.16845717e-05]
164 [  1.74809366e-05] [  3.07968257e-05] [  1.74809366e-05]
165 [  2.33116717e-05] [  3.58409885e-05] [  2.33116717e-05]
166 [  2.33932361e-05] [  3.62564738e-05] [  2.33932361e-05]
167 [  2.23021436e-05] [  3.56686098e-05] [  2.23021436e-05]
168 [  2.11835104e-05] [  3.49921185e-05] [  2.11835104e-05]
169 [  2.30134302e-05] [  3.64168391e-05] [  2.30134302e-05]
170 [ -7.09723533e-07] [  1.63334608e-05] [ -7.09723533e-07]
171 [  1.96378472e-05] [  3.26573327e-05] [  1.96378472e-05]
172 [  2.38263217e-05] [  3.61625507e-05] [  2.38263217e-05]
173 [  2.40142831e-05] [  3.64548720e-05] [  2.40142831e-05]
174 [  2.33740958e-05] [  3.60465032e-05] [  2.33740958e-05]
175 [  2.27069214e-05] [  3.55769766e-05] [  2.27069214e-05]
176 [  2.21850671e-05] [  3.51881973e-05] [  2.21850671e-05]
177 [  2.43641199e-05] [  3.67455965e-05] [  2.43641199e-05]
178 [  1.82139064e-05] [  3.16285623e-05] [  1.82139064e-05]
179 [  7.54878938e-06] [  2.22240355e-05] [  7.54878938e-06]
180 [  2.25068144e-05] [  3.41316873e-05] [  2.25068144e-05]
181 [  2.56944909e-05] [  3.67121597e-05] [  2.56944909e-05]
182 [  2.59414584e-05] [  3.69398281e-05] [  2.59414584e-05]
183 [  2.55661921e-05] [  3.66498890e-05] [  2.55661921e-05]
184 [  2.93922520e-05] [  3.93919345e-05] [  2.93922520e-05]
185 [  1.89020717e-05] [  3.06659935e-05] [  1.89020717e-05]
186 [  1.92416258e-05] [  3.06134245e-05] [  1.92416258e-05]
187 [  2.53924853e-05] [  3.55171018e-05] [  2.53924853e-05]
188 [  2.66160653e-05] [  3.65078225e-05] [  2.66160653e-05]
189 [  2.66407565e-05] [  3.65319814e-05] [  2.66407565e-05]
190 [  2.64389221e-05] [  3.63603383e-05] [  2.64389221e-05]
191 [  2.62518865e-05] [  3.61861640e-05] [  2.62518865e-05]
192 [  2.87268211e-05] [  3.79406958e-05] [  2.87268211e-05]
193 [  1.69663082e-05] [  2.79660134e-05] [  1.69663082e-05]
194 [  2.59216336e-05] [  3.50753553e-05] [  2.59216336e-05]
195 [  2.79474769e-05] [  3.66967925e-05] [  2.79474769e-05]
196 [  2.82188013e-05] [  3.69174058e-05] [  2.82188013e-05]
197 [  2.81003229e-05] [  3.68169817e-05] [  2.81003229e-05]
198 [  2.79408559e-05] [  3.66730198e-05] [  2.79408559e-05]
199 [  3.04428136e-05] [  3.84586208e-05] [  3.04428136e-05]
200 [  2.38544797e-05] [  3.29550052e-05] [  2.38544797e-05]
201 [  2.42572223e-05] [  3.14715990e-05] [  2.42572223e-05]
202 [  2.65392524e-05] [  3.18206549e-05] [  2.65392524e-05]
203 [  2.64687310e-05] [  3.04609849e-05] [  2.64687310e-05]
204 [  2.60006443e-05] [  2.89240372e-05] [  2.60006443e-05]
205 [  2.56051846e-05] [  2.75698228e-05] [  2.56051846e-05]
206 [  2.53695754e-05] [  2.64567883e-05] [  2.53695754e-05]
207 [  1.27533047e-05] [  1.64513632e-05] [  1.27533047e-05]
208 [  1.52434498e-05] [  1.69465595e-05] [  1.52434498e-05]
209 [  2.82482799e-05] [  2.66212312e-05] [  2.82482799e-05]
210 [  3.08107031e-05] [  2.81187279e-05] [  3.08107031e-05]
211 [  3.08108772e-05] [  2.76537741e-05] [  3.08108772e-05]
212 [  3.03152029e-05] [  2.68531978e-05] [  3.03152029e-05]
213 [  2.98378427e-05] [  2.61186963e-05] [  2.98378427e-05]
214 [  2.94839049e-05] [  2.55291474e-05] [  2.94839049e-05]
215 [  1.74087752e-05] [  1.64638843e-05] [  1.74087752e-05]
216 [  2.55931021e-05] [  2.24271906e-05] [  2.55931021e-05]
217 [  3.13971581e-05] [  2.68046050e-05] [  3.13971581e-05]
218 [  3.23398060e-05] [  2.73725136e-05] [  3.23398060e-05]
219 [  3.21377537e-05] [  2.70628140e-05] [  3.21377537e-05]
220 [  3.17522515e-05] [  2.66324494e-05] [  3.17522515e-05]
221 [  3.14186512e-05] [  2.62655824e-05] [  3.14186512e-05]
222 [  2.19140933e-05] [  1.92533978e-05] [  2.19140933e-05]
223 [  3.01946237e-05] [  2.56569011e-05] [  3.01946237e-05]
224 [  3.25940706e-05] [  2.74742367e-05] [  3.25940706e-05]
225 [  3.28556934e-05] [  2.76187426e-05] [  3.28556934e-05]
226 [  3.26446753e-05] [  2.74038785e-05] [  3.26446753e-05]
227 [  3.23880682e-05] [  2.71658813e-05] [  3.23880682e-05]
228 [  3.21830693e-05] [  2.69805420e-05] [  3.21830693e-05]
229 [  3.20418208e-05] [  2.68564597e-05] [  3.20418208e-05]
230 [  2.46593568e-05] [  2.14779184e-05] [  2.46593568e-05]
231 [  3.15009974e-05] [  2.68487325e-05] [  3.15009974e-05]
232 [  3.31846406e-05] [  2.81656480e-05] [  3.31846406e-05]
233 [  3.33873096e-05] [  2.83203893e-05] [  3.33873096e-05]
234 [  3.32596754e-05] [  2.82208805e-05] [  3.32596754e-05]
235 [  3.30964387e-05] [  2.80993453e-05] [  3.30964387e-05]
236 [  3.29670296e-05] [  2.80102474e-05] [  3.29670296e-05]
