DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
169   [[ 0.         0.0004082]]
170   [[ 0.          0.00039821]]
171   [[ 0.          0.00038847]]
172   [[ 0.          0.00037898]]
173   [[ 0.          0.00036973]]
174   [[ 0.          0.00036072]]
175   [[ 0.          0.00035194]]
176   [[ 0.          0.00034338]]
177   [[ 0.          0.00033505]]
178   [[ 0.          0.00032691]]
179   [[ 0.          0.00032375]]
180   [[ 0.          0.00031131]]
181   [[ 0.          0.00030282]]
182   [[ 0.          0.00029545]]
183   [[ 0.          0.00028848]]
184   [[ 0.          0.00028172]]
185   [[ 0.          0.00027513]]
186   [[ 0.          0.00026868]]
187   [[ 0.          0.00026238]]
188   [[ 0.          0.00025621]]
189   [[ 0.          0.00026369]]
190   [[ 0.         -0.00030598]]
191   [[ 0.         -0.00028073]]
192   [[ 0.          0.00061626]]
193   [[ 0.          0.00092397]]
194   [[ 0.          0.00106133]]
195   [[ 0.          0.00113854]]
196   [[ 0.          0.00118772]]
197   [[ 0.          0.00122003]]
198   [[ 0.          0.00124067]]
199   [[ 0.          0.00125289]]
200   [[ 0.          0.00125904]]
201   [[ 0.          0.00126096]]
202   [[ 0.         0.0012601]]
203   [[ 0.          0.00125762]]
204   [[ 0.          0.00125443]]
205   [[ 0.          0.00125126]]
206   [[ 0.          0.00124866]]
207   [[ 0.          0.00124706]]
208   [[ 0.          0.00124677]]
209   [[ 0.          0.00124803]]
210   [[ 0.          0.00125099]]
211   [[ 0.          0.00125576]]
212   [[ 0.          0.00126241]]
213   [[ 0.          0.00127094]]
214   [[ 0.          0.00128136]]
215   [[ 0.          0.00129363]]
216   [[ 0.          0.00130772]]
217   [[ 0.          0.00132356]]
218   [[ 0.          0.00134109]]
219   [[ 0.          0.00136024]]
220   [[ 0.          0.00138092]]
221   [[ 0.          0.00140305]]
222   [[ 0.          0.00142656]]
223   [[ 0.          0.00145135]]
224   [[ 0.          0.00147736]]
225   [[ 0.         0.0015045]]
226   [[ 0.         0.0015327]]
227   [[ 0.          0.00156245]]
228   [[ 0.          0.00159367]]
229   [[ 0.         0.0016262]]
230   [[ 0.         0.0016599]]
231   [[ 0.          0.00169462]]
232   [[ 0.          0.00173024]]
233   [[ 0.          0.00176664]]
234   [[ 0.          0.00180373]]
235   [[ 0.          0.00184141]]
236   [[ 0.          0.00187961]]
237   [[ 0.          0.00191825]]
238   [[ 0.          0.00195727]]
239   [[ 0.          0.00199662]]
240   [[ 0.          0.00203624]]
241   [[ 0.          0.00207608]]
242   [[ 0.         0.0021161]]
243   [[ 0.          0.00215627]]
244   [[ 0.          0.00219654]]
245   [[ 0.          0.00223689]]
246   [[ 0.          0.00227729]]
247   [[ 0.         0.0023177]]
248   [[ 0.          0.00235811]]
249   [[ 0.          0.00239849]]
250   [[ 0.          0.00243883]]
251   [[ 0.          0.00247909]]
252   [[ 0.          0.00251928]]
253   [[ 0.          0.00255936]]
254   [[ 0.          0.00259934]]
255   [[ 0.          0.00263918]]
256   [[ 0.          0.00267889]]
257   [[ 0.          0.00271844]]
258   [[ 0.          0.00275784]]
259   [[ 0.          0.00279706]]
260   [[ 0.          0.00283611]]
261   [[ 0.          0.00287496]]
262   [[ 0.          0.00291363]]
263   [[ 0.          0.00295209]]
264   [[ 0.          0.00299034]]
265   [[ 0.          0.00302838]]
266   [[ 0.         0.0030662]]
267   [[ 0.          0.00310379]]
268   [[ 0.          0.00314116]]
269   [[ 0.         0.0031783]]
270   [[ 0.          0.00321519]]
271   [[ 0.          0.00325185]]
272   [[ 0.          0.00328827]]
273   [[ 0.          0.00332444]]
274   [[ 0.          0.00336036]]
275   [[ 0.          0.00339603]]
276   [[ 0.          0.00343145]]
277   [[ 0.          0.00346662]]
278   [[ 0.          0.00350153]]
279   [[ 0.          0.00353618]]
280   [[ 0.          0.00357057]]
281   [[ 0.          0.00360471]]
282   [[ 0.          0.00363858]]
