DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.13
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.13:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
0   [0.4, 0.2, 0.3]
1   [0.40000000000000002, 0.20000000000000001, 0.29999999999999999]
2   [0.41278795408508706, 0.20891583508261266, 0.30012215785338098]
3   [0.41563999626526471, 0.21010774425158912, 0.30038364558671515]
4   [0.41589850091364727, 0.20937211581344431, 0.30065816865034733]
5   [0.4155101405863893, 0.20824752278503295, 0.30091493120093998]
6   [0.41497857081287176, 0.20712315309883894, 0.30114802913690075]
7   [0.41443113799331049, 0.20608922691398177, 0.30135777170116129]
8   [0.41389786720985455, 0.20515937902708212, 0.30154585994455907]
9   [0.41338406342291517, 0.20432845728529983, 0.30171416671872453]
10   [0.41288903758683809, 0.20358736401298541, 0.30186444619774688]
11   [0.41241121895072058, 0.20292706934017982, 0.30199828310479665]
12   [0.41194897521905222, 0.20233918877181711, 0.30211709951899662]
13   [0.41150105444233415, 0.20181628097404214, 0.30222217230648923]
14   [0.41106642552298972, 0.20135166098435617, 0.30231465154693099]
15   [0.41064436826049161, 0.2009394266306492, 0.30239557673704548]
16   [0.41023438419666058, 0.20057434336600488, 0.30246589169936394]
17   [0.40983594858867789, 0.20025159551898583, 0.30252645496072567]
18   [0.40944876596006174, 0.19996696025684921, 0.30257804929484589]
19   [0.40907269784386291, 0.19971671855250941, 0.30262139229217427]
20   [0.40870745286591298, 0.1994973643529232, 0.30265714233177293]
21   [0.40835290323347256, 0.19930583656953926, 0.30268590404170304]
22   [0.40800898664155955, 0.19913941527793549, 0.30270823540981046]
23   [0.40767549652204327, 0.1989955210394462, 0.30272465128294224]
24   [0.40735235148275245, 0.19887191517440431, 0.30273562707891971]
25   [0.40703942934097109, 0.19876654333805965, 0.30274160314513365]
26   [0.40673661385310778, 0.19867755480973637, 0.30274298758386187]
27   [0.40644377311436758, 0.19860326728127112, 0.30274015902808821]
28   [0.40616078988798748, 0.19854217646622219, 0.30273346924127797]
29   [0.40588751418855973, 0.19849290220583568, 0.30272324529647004]
30   [0.40562373980079786, 0.19845415388537135, 0.30270979081350108]
31   [0.40536934055316115, 0.19842483201123401, 0.30269338816022284]
32   [0.4051175812086093, 0.19839595303540378, 0.30267421975045011]
33   [0.40487498141051548, 0.19837544947903804, 0.30265245845673999]
34   [0.40458726766860881, 0.19832177692311861, 0.30262781878149481]
35   [0.40443609205417741, 0.19838055966426849, 0.30260131924927208]
36   [0.40401808363286013, 0.19821296243632561, 0.30257161743631278]
37   [0.40423133862767524, 0.19857175193149482, 0.30254252851134433]
38   [0.40307650056329514, 0.19777977993057136, 0.3025063464492308]
39   [0.40500304742944665, 0.19956840304191512, 0.30248098011850555]
40   [0.40010582976513515, 0.19563020431872863, 0.30242722460161497]
41   [0.41010414885328439, 0.20419421323030129, 0.30242970398064406]
42   [0.40046819836464814, 0.19570749402814958, 0.30243314467980681]
43   [0.40971933604625288, 0.20415597695687143, 0.3024355755557897]
44   [0.39997525534579298, 0.19564915342241671, 0.30243346842392616]
45   [0.4092220596336914, 0.20409362685291044, 0.30242972170420146]
46   [0.39949130531402555, 0.19558637158717557, 0.30242159154371828]
47   [0.40875499884934946, 0.20403180011827474, 0.3024121228972188]
48   [0.39904219323546553, 0.19552637774791801, 0.30239860059505763]
49   [0.40832428406632448, 0.20397429570175099, 0.30238408320813825]
50   [0.39863005809451835, 0.19547186760211735, 0.3023658555778812]
51   [0.4079307234265418, 0.20392315688565715, 0.30234697809236172]
52   [0.3982549156508679, 0.19542437150937908, 0.30232472856576881]
53   [0.40757372066418601, 0.20387948246206664, 0.3023021630701625]
54   [0.39822237857799891, 0.19548096849330754, 0.30227882713343757]
55   [0.40816665228444976, 0.20411893065083478, 0.30226208174450553]
56   [0.39938709229754371, 0.19587139146682736, 0.30225301325834686]
57   [0.40980658176136731, 0.20462579577224752, 0.30225747678276421]
58   [0.40141077287189852, 0.19646413594732109, 0.30227501557759617]
59   [0.41213405388874413, 0.20527831990098097, 0.3023099889857912]
60   [0.40397316258279803, 0.19715442087184029, 0.30236077193130317]
61   [0.41487245482794238, 0.20598794055860256, 0.30243065504007238]
62   [0.40683733869872452, 0.19786809341808578, 0.302517204483984]
63   [0.41781980436898203, 0.20669312285356356, 0.30262298158039547]
64   [0.40983186761427959, 0.19855461624080975, 0.30274501908686929]
65   [0.42083130755428261, 0.20735288251670972, 0.30288540089570926]
66   [0.4128351291388328, 0.19918127496739502, 0.30304083262670112]
67   [0.42380547712337063, 0.20794163871931726, 0.30321310257513073]
68   [0.41576311022536544, 0.1997286207553752, 0.30339873792087818]
69   [0.42667342676463743, 0.20844518755698888, 0.30359936143764166]
70   [0.41855998780115544, 0.20018691360576768, 0.30381142574881537]
71   [0.4293906096989874, 0.20885756816073361, 0.30403647933409478]
72   [0.42119091010464915, 0.20055336916619163, 0.30427097161525579]
73   [0.43193047526246042, 0.20917864305948797, 0.30451643877275747]
74   [0.42368811118864097, 0.20097614980313086, 0.30477046334166502]
